,IDV,SUBPOP,ANC
a.chromsome.0,a.0,a,a
a.chromsome.1,a.0,a,a
a.chromsome.2,a.1,a,a
a.chromsome.3,a.1,a,c
a.chromsome.4,a.2,a,a
a.chromsome.5,a.2,a,a
a.chromsome.6,a.3,a,a
a.chromsome.7,a.3,a,b
a.chromsome.8,a.4,a,c
a.chromsome.9,a.4,a,a
a.chromsome.10,a.5,a,a
a.chromsome.11,a.5,a,a
a.chromsome.12,a.6,a,b
a.chromsome.13,a.6,a,a
a.chromsome.14,a.7,a,a
a.chromsome.15,a.7,a,a
a.chromsome.16,a.8,a,a
a.chromsome.17,a.8,a,c
a.chromsome.18,a.9,a,a
a.chromsome.19,a.9,a,a
a.chromsome.20,a.10,a,a
a.chromsome.21,a.10,a,a
a.chromsome.22,a.11,a,a
a.chromsome.23,a.11,a,a
a.chromsome.24,a.12,a,b
a.chromsome.25,a.12,a,a
a.chromsome.26,a.13,a,a
a.chromsome.27,a.13,a,a
a.chromsome.28,a.14,a,a
a.chromsome.29,a.14,a,a
a.chromsome.30,a.15,a,a
a.chromsome.31,a.15,a,a
a.chromsome.32,a.16,a,a
a.chromsome.33,a.16,a,c
a.chromsome.34,a.17,a,b
a.chromsome.35,a.17,a,a
a.chromsome.36,a.18,a,a
a.chromsome.37,a.18,a,c
a.chromsome.38,a.19,a,c
a.chromsome.39,a.19,a,b
a.chromsome.40,a.20,a,a
a.chromsome.41,a.20,a,a
a.chromsome.42,a.21,a,c
a.chromsome.43,a.21,a,a
a.chromsome.44,a.22,a,c
a.chromsome.45,a.22,a,a
a.chromsome.46,a.23,a,b
a.chromsome.47,a.23,a,a
a.chromsome.48,a.24,a,c
a.chromsome.49,a.24,a,a
a.chromsome.50,a.25,a,a
a.chromsome.51,a.25,a,a
a.chromsome.52,a.26,a,a
a.chromsome.53,a.26,a,a
a.chromsome.54,a.27,a,c
a.chromsome.55,a.27,a,a
a.chromsome.56,a.28,a,a
a.chromsome.57,a.28,a,a
a.chromsome.58,a.29,a,a
a.chromsome.59,a.29,a,a
a.chromsome.60,a.30,a,c
a.chromsome.61,a.30,a,a
a.chromsome.62,a.31,a,a
a.chromsome.63,a.31,a,b
a.chromsome.64,a.32,a,a
a.chromsome.65,a.32,a,a
a.chromsome.66,a.33,a,b
a.chromsome.67,a.33,a,a
a.chromsome.68,a.34,a,c
a.chromsome.69,a.34,a,a
a.chromsome.70,a.35,a,a
a.chromsome.71,a.35,a,a
a.chromsome.72,a.36,a,c
a.chromsome.73,a.36,a,a
a.chromsome.74,a.37,a,c
a.chromsome.75,a.37,a,a
a.chromsome.76,a.38,a,a
a.chromsome.77,a.38,a,a
a.chromsome.78,a.39,a,a
a.chromsome.79,a.39,a,c
a.chromsome.80,a.40,a,c
a.chromsome.81,a.40,a,a
a.chromsome.82,a.41,a,c
a.chromsome.83,a.41,a,a
a.chromsome.84,a.42,a,a
a.chromsome.85,a.42,a,c
a.chromsome.86,a.43,a,a
a.chromsome.87,a.43,a,a
a.chromsome.88,a.44,a,b
a.chromsome.89,a.44,a,a
a.chromsome.90,a.45,a,b
a.chromsome.91,a.45,a,a
a.chromsome.92,a.46,a,a
a.chromsome.93,a.46,a,a
a.chromsome.94,a.47,a,a
a.chromsome.95,a.47,a,a
a.chromsome.96,a.48,a,c
a.chromsome.97,a.48,a,b
a.chromsome.98,a.49,a,a
a.chromsome.99,a.49,a,a
b.chromsome.0,b.0,b,b
